Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
Inovexus,https://www.crunchbase.com/organization/inovexus,"Paris, Ile-de-France, France","Angel Investment, Business Development, Financial Services, Venture Capital",31,Philippe@Inovexus.com
Venionaire Capital,https://www.crunchbase.com/organization/venionaire-capital,"Vienna, Wien, Austria",Finance,12,office@venionaire.com
Equity Gap,https://www.crunchbase.com/organization/equity-gap,"Edinburgh, Edinburgh, City of, United Kingdom","Angel Investment, Finance, Financial Services",48,enquiries@equitygap.co.uk
Curiosity VC,https://www.crunchbase.com/organization/curiosity-vc,"Amsterdam, Noord-Holland, The Netherlands","CleanTech, Cyber Security, Enterprise Software, FinTech, GreenTech, Legal Tech, Marketing Automation, SaaS, Sales Automation, Software",17,hello@curiosityvc.com
YYX Capital,https://www.crunchbase.com/organization/jxc-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",9,contact@yyxcapital.com
DOMiNO Ventures,https://www.crunchbase.com/organization/domino-ventures,"Amsterdam, Noord-Holland, The Netherlands","CleanTech, Cyber Security, EdTech, FinTech, Health Care, Human Resources, Life Science, SaaS",22,ventures@dominovc.com
Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Finance, Information Technology, Internet, Software, Venture Capital",45,info@advancedblockchain.com
Tezos Foundation,https://www.crunchbase.com/organization/tezos-foundation,"Zug, Zug, Switzerland","Blockchain, Cryptocurrency, Software",18,media@tezosfoundation.ch
Neosfer,https://www.crunchbase.com/organization/neosfer,"Frankfurt, Hessen, Germany","Banking, FinTech, GreenTech, SaaS, Sustainability",34,info@neosfer.com
Royal Academy of Engineering Enterprise Hub,https://www.crunchbase.com/organization/royal-academy-of-engineering-enterprise-hub,"London, England, United Kingdom","Chemical Engineering, Civil Engineering, Environmental Engineering, Incubators, Manufacturing, Mechanical Engineering, Software Engineering",3,enterprise@raeng.org.uk
WILCO,https://www.crunchbase.com/organization/scientipole-initiative,"Paris, Ile-de-France, France","Financial Services, Venture Capital",198,industry@wilco-ambitions.com
Kinetic Investments,https://www.crunchbase.com/organization/kinetic-investments,"London, England, United Kingdom","Information Technology, Local Business, Venture Capital",10,in@ki.uk
Kärcher New Venture,https://www.crunchbase.com/organization/kärcher-new-venture,"Winnenden, Baden-Wurttemberg, Germany","Artificial Intelligence (AI), Business Development, CleanTech, Commercial, Professional Services, Robotics, Venture Capital",9,newventure@de.kaercher.com
LVL1 Group,https://www.crunchbase.com/organization/lvl1-group,"Limassol, Limassol, Cyprus",Venture Capital,27,contact@lvl1group.com
TT Ventures,https://www.crunchbase.com/organization/tt-ventures,"Istanbul, Istanbul, Turkey","E-Commerce, Education, Finance, Health Care, Information Technology, Internet, Mobile, Software",57,ttventures@turktelekom.com
Novator,https://www.crunchbase.com/organization/novator,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",34,info@novator.co.uk
Zee Prime Capital,https://www.crunchbase.com/organization/zee-prime-capital,"Gibraltar, Gibraltar, Gibraltar","Blockchain, Cloud Infrastructure, Cryptocurrency, Decentralized Finance (DeFi), Finance, Financial Services, Smart Contracts, Venture Capital, Virtual Currency, Web3",67,info@zeeprime.capital
IRDI SORIDEC Gestion,https://www.crunchbase.com/organization/irdi-soridec-gestion,"Toulouse, Midi-Pyrenees, France","Consulting, Financial Services, Impact Investing, Wealth Management",39,contact.bordeaux@irdi.fr
WENVEST Capital,https://www.crunchbase.com/organization/wenvest-capital,"Munich, Bayern, Germany","Financial Services, FinTech, SaaS, Venture Capital",22,info@wenvest.capital
Innovation Nest,https://www.crunchbase.com/organization/innovation-nest,"Kraków, Malopolskie, Poland","B2B, Finance, SaaS, Software, Venture Capital",55,partners@innovationnest.co
Rancilio Cube Sicaf,https://www.crunchbase.com/organization/ranciliocube,"Milano, Lombardia, Italy","Finance, Financial Services, Impact Investing, Venture Capital",56,info@ranciliocube.com
MCI Capital SA,https://www.crunchbase.com/organization/mci-management,"Warsaw, Mazowieckie, Poland","Big Data, Cloud Computing, Digital Media, Financial Services, FinTech, Marketplace, Mobile, Mobile Payments, SaaS, Travel",88,office@mci.eu
Jets Capital,https://www.crunchbase.com/organization/jets-capital,"London, England, United Kingdom","Blockchain, Cryptocurrency, Venture Capital, Web3",54,info@jetscapital.com
Alecla7,https://www.crunchbase.com/organization/seven-srl,"Milan, Lombardia, Italy",Venture Capital,21,contact@alecla7.com
Persistent,https://www.crunchbase.com/organization/persistent,"Zürich, Zurich, Switzerland",Financial Services,19,impact@persistent.energy
Brandenburg Kapital,https://www.crunchbase.com/organization/bfb-brandenburg-kapital-gmbh,"Potsdam, Brandenburg, Germany","Finance, Financial Services, Venture Capital",59,eigenkapital@ilb.de
EBRD (Türkiye),https://www.crunchbase.com/organization/ebrd-investment-firm,"Istanbul, Istanbul, Turkey","Angel Investment, Banking, Finance",25,newbusiness@ebrd.com
CNB Capital,https://www.crunchbase.com/organization/constantia-industries,"Vienna, Wien, Austria","B2B, Industrial Automation, Information Technology, Manufacturing, Software, Venture Capital",18,bp@cnb.capital
Alpana Ventures,https://www.crunchbase.com/organization/alpana-ventures,"Geneva, Geneve, Switzerland","Cyber Security, Enterprise Software, Finance, Financial Services, FinTech, Health Diagnostics, Venture Capital",43,info@alpana-ventures.ch
Blockchain Founders Capital,https://www.crunchbase.com/organization/blockchain-founders-capital,"Neustadt An Der Weinstraße, Rheinland-Pfalz, Germany","Blockchain, IT Infrastructure, Marketplace, SaaS",18,ben@bfc.vc
Saxovent,https://www.crunchbase.com/organization/saxovent,"Berlin, Berlin, Germany","Agriculture, Energy, Energy Storage, Renewable Energy, Solar, Venture Capital, Wind Energy",15,contact@saxovent.de
Next Wave Partners,https://www.crunchbase.com/organization/next-wave-partners,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",14,enquiries@nextwavepartners.co.uk
SuperCharger Ventures,https://www.crunchbase.com/organization/supercharger-ventures,"London, England, United Kingdom","Business Development, EdTech, Finance",5,hello@superchargerventures.com
Pi Campus,https://www.crunchbase.com/organization/pi-2,"Rome, Lazio, Italy","Finance, Financial Services, Venture Capital",42,welcome@picampus.it
eQventure,https://www.crunchbase.com/organization/eqventure,"Graz, Steiermark, Austria","FinTech, Venture Capital",23,office@eqventure.com
Abbey Road Studios,https://www.crunchbase.com/organization/abbey-road-studios,"London, England, United Kingdom","Audio Recording and Production, Incubators, Music",14,info@abbeyroad.com
Club degli Investitori,https://www.crunchbase.com/organization/club-degli-investitori,"Torino, Piemonte, Italy","Angel Investment, Venture Capital",69,info@clubdeglinvestitori.it
Baring Vostok Capital Partners,https://www.crunchbase.com/organization/baring-vostok-capital-partners,"Moscow, Moscow City, Russian Federation","Venture Capital, Wireless",43,info@bvcp.ru
MobilityFund,https://www.crunchbase.com/organization/mobility-fund,"Hamburg, Hamburg, Germany","Automotive, Autonomous Vehicles, Electric Vehicle, Internet of Things, Sharing Economy, Transportation, Venture Capital",16,info@mobility.fund
TS Ventures,https://www.crunchbase.com/organization/ts-ventures-gmbh,"Bergisch Gladbach, Nordrhein-Westfalen, Germany",Venture Capital,15,stephan@tsventures.io
bm-t beteiligungsmanagement thuringen,https://www.crunchbase.com/organization/bm-t-beteiligungsmanagement-thüringen,"Erfurt, Thuringen, Germany","Finance, Financial Services, Venture Capital",50,info@bm-t.com
1kx,https://www.crunchbase.com/organization/1kx,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Finance, Information Technology, Venture Capital",138,press@1kx.capital
1818 Venture Capital,https://www.crunchbase.com/organization/1818-venture-capital,"St. Peter Port, NA - Guernsey, Guernsey",Venture Capital,29,hello@1818venturecapital.com
NWO,https://www.crunchbase.com/organization/dutch-research-council,"The Hague, Zuid-Holland, The Netherlands","Advice, Consulting, Funding Platform, Market Research, Product Research, Project Management",10,communicatie@nwo.nl
Metavallon VC,https://www.crunchbase.com/organization/metavallon-vc,"Athens, Attiki, Greece","B2B, Big Data, FinTech, Internet of Things, Medical Device, Semiconductor, Virtual Reality",33,contactus@metavallon.vc
Velo Partners,https://www.crunchbase.com/organization/velo-partners,"London, England, United Kingdom",Venture Capital,37,info@velopartners.co.uk
OneRagtime,https://www.crunchbase.com/organization/oneragtime,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",40,contact@oneragtime.com
Newable Private Investing,https://www.crunchbase.com/organization/newable-private-investing,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",79,privateinvesting@newable.co.uk
Cambridge Angels group,https://www.crunchbase.com/organization/cambridge-angels-group,"London, England, United Kingdom","Angel Investment, Financial Services, Venture Capital",105,info@cambridgeangels.net
TrueSight Ventures,https://www.crunchbase.com/organization/truesight-ventures,"London, England, United Kingdom","Business Development, Financial Services, Venture Capital",50,info@truesight.vc
Mastercard Start Path,https://www.crunchbase.com/organization/mastercard-start-path,"Dublin, Dublin, Ireland","Big Data, E-Commerce, Financial Services, FinTech, Location Based Services, Mobile, Mobile Payments, Payments",61,info@startpath.com
Capitalia,https://www.crunchbase.com/organization/capitalia,"Riga, Riga, Latvia","Financial Services, Lending",6,info@capitalia.lv
Momentum Global Ventures,https://www.crunchbase.com/organization/momentum-capital,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Impact Investing",5,info@momentum.ventures
Catalystrix Ventures,https://www.crunchbase.com/organization/catalystrix-ventures,"Kilmarnock, East Ayrshire, United Kingdom","Artificial Intelligence (AI), Machine Learning, Venture Capital",14,weiss@catalystrix.vc
ZAS Ventures,https://www.crunchbase.com/organization/zas-ventures,"Kyiv, Kyyiv, Ukraine","SaaS, Venture Capital",12,hello@zas.ventures
Green Angel Ventures,https://www.crunchbase.com/organization/green-angel-syndicate,"London, England, United Kingdom","Angel Investment, Information Technology, Venture Capital",37,nick@greenangelsyndicate.com
Earth Capital,https://www.crunchbase.com/organization/earth-capital,"London, England, United Kingdom","AgTech, Clean Energy, CleanTech, Energy Efficiency, GreenTech, Impact Investing, Renewable Energy, Sustainability, Water Purification",5,info@earthcapital.net
ICEO - Venture Builder,https://www.crunchbase.com/organization/iceo,"London, England, United Kingdom","Apps, Big Data, Blockchain, FinTech, Legal Tech, Machine Learning, Mobile Apps, Smart Cities",2,hello@iceo.co
STS Ventures,https://www.crunchbase.com/organization/sts-ventures,"Cologne, Nordrhein-Westfalen, Germany","Angel Investment, Financial Services, Venture Capital",25,hi@sts-ventures.de
Skolkovo Foundation,https://www.crunchbase.com/organization/skolkovo-foundation,"Moscow, Moscow City, Russian Federation","Health Care, Information Technology, Innovation Management, Navigation, Non Profit, Venture Capital",44,invest@sk.ru
Zubi Capital,https://www.crunchbase.com/organization/zubi-capital,"Valencia, Comunidad Valenciana, Spain","Diabetes, Financial Services, Health Care, Impact Investing, Social, Sustainability",17,hola@zubicapital.com
KR1,https://www.crunchbase.com/organization/kr1,"Douglas, NA - Isle of Man, Isle of Man","Asset Management, Blockchain, Finance, Hedge Funds, Venture Capital",41,team@KR1.io
Black Pearls VC,https://www.crunchbase.com/organization/black-pearls,"Gdansk, Pomorskie, Poland","Artificial Intelligence (AI), Enterprise Software, FinTech, Health Care, Life Science",44,office@blackpearls.vc
Tiburon,https://www.crunchbase.com/organization/tiburon-2,"Munich, Bayern, Germany","Finance, Financial Services, Venture Capital",28,info@tiburon.de
VR Ventures,https://www.crunchbase.com/organization/vr-ventures,"Berlin, Berlin, Germany","Business Development, FinTech, Professional Services, Venture Capital",17,hello@vr-ventures.vc
Lanzadera Accelerator,https://www.crunchbase.com/organization/lanzadera-accelerator,"Valencia, Comunidad Valenciana, Spain","Business Development, Consulting, Finance, Venture Capital",262,info@lanzadera.es
FI Group,https://www.crunchbase.com/organization/fi-group,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Finance, Financial Services, Management Consulting, Market Research",4,info.uk@fi-group.com
Esas Ventures,https://www.crunchbase.com/organization/esas-ventures,"Istanbul, Istanbul, Turkey",Financial Services,42,info@esasventures.com
Alesta Yatırım,https://www.crunchbase.com/organization/alesta-girisim,"Istanbul, Istanbul, Turkey",Venture Capital,57,ibrahim.ozer@alestayatirim.com
Caixa Capital,https://www.crunchbase.com/organization/caixa-capital-2,"Lisbon, Lisboa, Portugal","Finance, Financial Services, Venture Capital",43,geral@caixacapital.pt
Geometry Venture Development,https://www.crunchbase.com/organization/geometry-venture-development,"Sariyer, Istanbul, Turkey","Finance, Financial Services, Venture Capital",25,melih@geometryventure.dev
Secways,https://www.crunchbase.com/organization/secways,"Girona, Catalonia, Spain","Finance, Financial Services",27,contact@secways.com
Finindus,https://www.crunchbase.com/organization/finindus,"Zelzate, Oost-Vlaanderen, Belgium",Venture Capital,25,contact@finindus.be
Arts Alliance,https://www.crunchbase.com/organization/arts-alliance,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",28,info@artsalliance.co.uk
AI Seed,https://www.crunchbase.com/organization/ai-seed-fund,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",45,hello@aiseed.co
MITON,https://www.crunchbase.com/organization/miton-cz-s-r-o,"Prague, Hlavni mesto Praha, Czech Republic","Business Development, Consumer, E-Commerce, Incubators",34,info@miton.cz
Sharpstone Capital,https://www.crunchbase.com/organization/sharpstone-capital,"Paris, Ile-de-France, France","Financial Services, Impact Investing",21,contact@sharpstone.fr
Czech Founders VC,https://www.crunchbase.com/organization/czech-founders-vc,"Prague, Hlavni mesto Praha, Czech Republic","Business Development, Consulting, Finance, Financial Services, Venture Capital",23,hello@czechfounders.vc
Distill Ventures,https://www.crunchbase.com/organization/distill-ventures,"London, England, United Kingdom","Finance, Financial Services",16,hello@distillventures.com
WebStart Bristol,https://www.crunchbase.com/organization/webstart-bristol,"Bristol, Bristol, City of, United Kingdom","Incubators, Internet, Marketing",16,info@webstartbristol.com
NV NOM,https://www.crunchbase.com/organization/nvnom,"Groningen, Groningen, The Netherlands","Consulting, Funding Platform, Venture Capital",20,info@nom.nl
Ship2B,https://www.crunchbase.com/organization/b-come-ship2b,"Barcelona, Catalonia, Spain","Impact Investing, Non Profit, Social Impact",42,jdeantonio@ship2bventures.com
WiSEED,https://www.crunchbase.com/organization/wiseed,"Toulouse, Midi-Pyrenees, France","Crowdfunding, Financial Services, Funding Platform, Small and Medium Businesses",29,contact@wiseed.com
BitStone Capital,https://www.crunchbase.com/organization/bitstone-capital,"Cologne, Nordrhein-Westfalen, Germany","Construction, Real Estate, Smart Building, Venture Capital",29,hello@bitstone.capital
La French Tech,https://www.crunchbase.com/organization/la-french-tech,"Paris, Ile-de-France, France","Association, Communities, Financial Services, Incubators, Social Entrepreneurship",19,frenchtech@finances.gouv.fr
StartersHub,https://www.crunchbase.com/organization/startershub,"Istanbul, Istanbul, Turkey",Venture Capital,44,hello@startershub.com
APEX Ventures,https://www.crunchbase.com/organization/apex-ventures-2,"Vienna, Wien, Austria","Financial Services, Venture Capital",36,office@apex.ventures
Arya Ventures,https://www.crunchbase.com/organization/arya-ventures-139c,"Istanbul, Istanbul, Turkey",Venture Capital,15,fund@aryawomen.com
"Founderheads,",https://www.crunchbase.com/organization/founderheads,"Vilnius, Vilniaus Apskritis, Lithuania",Blockchain,55,hello@founderheads.com
Landesbank Baden Wurttemberg,https://www.crunchbase.com/organization/landesbank-baden-württemberg,"Stuttgart, Baden-Wurttemberg, Germany","Banking, Finance, Financial Services",12,kontakt@LBBW.de
Block Dojo,https://www.crunchbase.com/organization/satoshi-block-dojo,"London, England, United Kingdom","Artificial Intelligence (AI), Blockchain, Corporate Training, Education, Training, Web3",9,hello@blockdojo.io
Navus Ventures,https://www.crunchbase.com/organization/navus-ventures,"Maassluis, Zuid-Holland, The Netherlands","Energy, Food and Beverage, Impact Investing, Venture Capital",27,Navus@lely.com
Rheingau Founders,https://www.crunchbase.com/organization/rheingau-founders,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech, Incubators, Media and Entertainment, SaaS, Venture Capital",48,contact@rheingau-founders.com
Founders Capital,https://www.crunchbase.com/organization/founders-capital-2,"London, England, United Kingdom","Finance, Financial Services, FinTech",6,info@founderscap.co.uk
Enjoyventure Management,https://www.crunchbase.com/organization/enjoyventure-management,"Düsseldorf, Nordrhein-Westfalen, Germany","Finance, Financial Services, Venture Capital",45,office@enjoyventure.de
Resonance,https://www.crunchbase.com/organization/resonance-503c,"Paris, Ile-de-France, France",Venture Capital,8,contact@resonance.vc
FTTF,https://www.crunchbase.com/organization/fttf,"Munich, Bayern, Germany",Venture Capital,30,info@fttf.eu
Symbid,https://www.crunchbase.com/organization/symbid,"Rotterdam, Zuid-Holland, The Netherlands","Business Development, Crowdfunding, Funding Platform, Impact Investing, Insurance, Internet, Payments, Peer to Peer",3,info@symbid.com
CABRA VC,https://www.crunchbase.com/organization/cabra-vc,"Limassol, Limassol, Cyprus","Internet, Venture Capital",30,info@cabra.vc
The North West Fund,https://www.crunchbase.com/organization/north-west-fund,"Warrington, Warrington, United Kingdom","Finance, Financial Services, Venture Capital",83,enquiries@thenorthwestfund.co.uk
Symvan Capital,https://www.crunchbase.com/organization/symvan-capital,"London, England, United Kingdom",Venture Capital,43,info@symvancapital.com
BLN Capital,https://www.crunchbase.com/organization/bln-capital,"Schönefeld, Brandenburg, Germany",Venture Capital,19,info@blncapital.com
Unfold.vc,https://www.crunchbase.com/organization/ventureincubator,"Wroclaw, Dolnoslaskie, Poland","Biotechnology, Health Care, Incubators, Internet, Marketing, Medical, SaaS, Software",25,office@unfold.vc
SCE Freiraum Ventures,https://www.crunchbase.com/organization/sce-freiraum-ventures,"Munich, Bayern, Germany",Venture Capital,4,hello@freiraum.vc
Workup,https://www.crunchbase.com/organization/workup-c9de,"Istanbul, Istanbul, Turkey",Impact Investing,154,hello@workup.ist
Investitions- und Strukturbank Rheinland-Pfalz,https://www.crunchbase.com/organization/investitions-und-strukturbank-rheinland-pfalz,"Mainz, Rheinland-Pfalz, Germany","Banking, Internet, Retail",17,isb@isb.rlp.de
New Renaissance Ventures,https://www.crunchbase.com/organization/new-renaissance-ventures,"Vienna, Wien, Austria","Finance, Financial Services, Venture Capital",9,hi@nr.ventures
HOWZAT Partners,https://www.crunchbase.com/organization/howzat-partners,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services, Venture Capital",64,info@howzatpartners.com
IMPACT Accelerator,https://www.crunchbase.com/organization/impact,"Madrid, Madrid, Spain","Consulting, Education, Finance, Impact Investing, Internet",111,info@impact-accelerator.com
Charlotte Street Capital,https://www.crunchbase.com/organization/charlotte-street-capital,"London, England, United Kingdom","Finance, Financial Services, Service Industry, Venture Capital",56,tom@charlottestreetcapital.com
Impulse VC,https://www.crunchbase.com/organization/impulsevc,"Moscow, Moscow City, Russian Federation","Big Data, Financial Services, Internet of Things, Marketing, Real Time, SaaS",48,start@impulsevc.com
Carbon Removal Partners,https://www.crunchbase.com/organization/carbon-removal-partners,"Zürich, Zurich, Switzerland",Venture Capital,12,info@carbonremoval.partners
KWORKS Koç University Entrepreneurship Research Center,https://www.crunchbase.com/organization/kworks-entrepreneurship-research-center,"Istanbul, Istanbul, Turkey","Education, Incubators, Social Entrepreneurship, Universities",76,kworks@ku.edu.tr
Endeavour Ventures,https://www.crunchbase.com/organization/endeavour-ventures,"London, England, United Kingdom","Financial Services, Venture Capital",28,enquiries@endven.com
Newable,https://www.crunchbase.com/organization/newable,"London, England, United Kingdom","Consulting, Finance, Financial Services, Information Technology, Venture Capital",5,buildingconfidence@newable.co.uk
Digital Future,https://www.crunchbase.com/organization/digitalfuture,"Kyiv, Kyyiv, Ukraine","Business Development, Financial Services, Venture Capital",33,contact@digital-future.org
Nova Growth Capital,https://www.crunchbase.com/organization/nova-growth-capital,"Liverpool, Liverpool, United Kingdom","Apps, EdTech, FinTech, Hardware, Health Care, Marketplace, Medical, Retail Technology, Software, Wellness",34,fund@novagrowthcapital.co.uk
Chromia,https://www.crunchbase.com/organization/chromia,"Norrmalm, Stockholms Lan, Sweden","Blockchain, Cryptocurrency, Information Technology",4,info@chromia.com
L Marks,https://www.crunchbase.com/organization/l-marks,"London, England, United Kingdom","Angel Investment, Consulting, Information Technology, Innovation Management, InsurTech",30,hello@lmarks.com
Kiko Ventures,https://www.crunchbase.com/organization/kiko-ventures,"London, England, United Kingdom",Venture Capital,13,hello@kiko.vc
Shift Capital,https://www.crunchbase.com/organization/shift-capital-9f50,"Luxembourg, Luxembourg, Luxembourg","Business Development, Consulting, Cryptocurrency, Financial Services",3,team@shiftcap.co
